,Name,GP,MP,USG%,TOV%,STL%,AST%,ORB%,DRB%,FTR,PF,FT%,RIM FGM,RIM FGA,3-10 FGM,3-10 FGA,10-16 FGM,10-16 FGA,16-23 FGM,16-23 FGA,MR FGM,MR FGA,3P%,RIM DFGA,RIM DFG%
145,Blake Griffin,36,1198,29.6,10.8,1.6,26.3,7.3,21.4,0.413,91,0.758,143,223,40,111,15,41,84,188,139,340,0.306,140,66.4
146,Justin Hamilton,48,939,15.4,10,1.2,6.6,6.6,17.2,0.11,68,0.719,51,70,25,48,7,17,3,7,35,72,0.304,221,58.8
147,Tim Hardaway,54,1354,22.7,8.9,1.2,14.3,1.5,9.5,0.214,64,0.72,106,164,18,47,17,39,23,58,58,144,0.349,62,58.1
148,James Harden,58,2123,34.5,19.7,1.9,50.7,3.6,21.4,0.581,156,0.852,169,246,57,154,39,98,32,70,128,322,0.353,223,70.4
149,Maurice Harkless,52,1504,16.3,11.1,2,5.4,6.3,11.7,0.155,142,0.667,128,223,25,50,3,5,10,25,38,80,0.346,137,53.3
150,Montrezl Harrell,46,878,17.9,10.8,1,10.2,8.7,13.5,0.339,92,0.649,135,185,30,60,1,8,10,20,41,88,0.333,151,62.9
151,Devin Harris,39,652,18.4,10.6,1.8,15.9,1.5,13.2,0.381,60,0.865,19,45,6,18,2,4,5,16,13,38,0.324,38,71.1
152,Gary Harris,32,917,19,10.4,2,13.3,3.4,9.1,0.229,50,0.74,81,131,13,36,6,16,7,27,26,79,0.421,43,72.1
153,Joe Harris,48,1057,16.5,12.2,1.3,7.8,1.4,12.1,0.139,114,0.723,48,88,10,22,3,6,6,19,19,47,0.387,94,71.3
154,Tobias Harris,57,1803,21.9,8.4,1.1,8.2,1.9,16.4,0.198,90,0.891,101,146,86,168,59,130,43,84,188,382,0.338,182,62.6
155,Andrew Harrison,53,1162,16.2,15.9,2,20.2,1.8,8.3,0.546,157,0.766,37,80,9,27,3,19,8,35,20,81,0.26,91,61.5
156,Udonis Haslem,16,129,12.6,21.9,2,6.5,6.8,23.1,0.682,21,0.6,9,11,2,5,0,4,0,2,2,11,0,21,71.4
157,Spencer Hawes,35,626,19.4,14.7,1,16.2,5.5,19.5,0.156,61,0.882,51,79,20,37,12,26,5,21,37,84,0.291,107,62.6
158,Gordon Hayward,50,1732,27.6,9.2,1.5,18.3,2.1,16.1,0.427,81,0.87,120,174,35,95,45,90,54,146,134,331,0.385,86,62.8
159,Gerald Henderson,51,1226,17.6,9.7,1.2,11.2,1.8,9.7,0.288,88,0.851,58,86,15,43,31,76,30,73,76,192,0.369,92,70.7
160,John Henson,46,930,16.4,14.2,1.4,8,8.1,20.9,0.401,121,0.707,77,121,39,89,4,14,6,22,49,125,0,198,61.6
161,Juan Hernangomez,40,512,13.5,8.6,1.6,5.4,6.7,18.7,0.364,43,0.702,28,47,3,14,0,2,1,5,4,21,0.426,65,69.2
162,Willy Hernangomez,49,769,18.7,17,1.4,10.2,13.2,27.3,0.283,80,0.729,100,155,19,47,9,21,3,13,31,81,0.273,195,55.9
163,Mario Hezonja,41,467,20.7,17,1.6,9.8,2.3,14.7,0.098,39,0.765,18,30,2,10,2,5,15,48,19,63,0.316,44,63.6
164,Roy Hibbert,42,671,13.8,14.9,0.6,4.5,8.5,15.8,0.521,97,0.813,39,56,19,45,9,17,11,26,39,88,0,131,47.3
165,Buddy Hield,57,1161,20.4,9,0.8,10.4,1.7,13.4,0.07,81,0.879,60,116,7,32,8,29,21,53,36,114,0.369,107,73.8
166,Nene Hilario,48,821,19,15.3,2.2,8.1,8,17.1,0.558,119,0.59,105,145,16,35,11,26,17,36,44,97,0.429,167,70.1
167,George Hill,32,1011,24.1,9.1,1.6,22.4,2.1,10.3,0.324,80,0.791,59,87,23,46,30,63,21,56,74,165,0.394,67,71.6
168,Solomon Hill,55,1565,11.2,13.2,1.5,8.4,1.9,11.7,0.271,126,0.807,47,86,6,22,6,17,1,10,13,49,0.357,158,64.6
169,Darrun Hilliard,27,290,19.5,15.8,1.2,11.1,0.8,9.8,0.25,31,0.708,7,12,4,14,3,8,8,26,15,48,0.25,14,78.6
170,Jrue Holiday,42,1359,24.6,17.1,2.4,38.4,2.5,10.7,0.222,105,0.69,103,172,42,93,29,55,26,79,97,227,0.393,109,64.2
171,Justin Holiday,57,1120,16.6,11.1,2.2,8.5,1.9,13.6,0.186,86,0.833,42,70,6,16,10,23,21,54,37,93,0.359,105,67.6
172,Rondae Hollis-Jefferson,52,1134,17.9,16.8,2.1,14.2,4.2,20.5,0.523,118,0.762,81,145,22,61,14,43,8,25,44,129,0.213,131,66.4
