,Name,GP,MP,USG%,TOV%,STL%,AST%,ORB%,DRB%,FTR,PF,FTM,FTA,RIM FGM,RIM FGA,3-10 FGM,3-10 FGA,10-16 FGM,10-16 FGA,16-23 FGM,16-23 FGA,3PM,3PA
59,Jimmy Butler,51,1867,27.2,9.3,2.5,23.1,4.8,14.0,0.582,87,426,491,133.0,222.0,50.0,100.0,59.0,136.0,73.0,195.0,59,175
60,Jose Calderon,24,292,15.3,24.8,1.2,25.2,2.9,12.7,0.052,22,4,4,6.0,8.0,0.0,3.0,4.0,12.0,10.0,20.0,12,34
61,Kentavious Caldwell-Pope,52,1759,19.3,8.5,1.9,12.4,2.5,8.6,0.197,88,105,126,63.0,100.0,14.0,52.0,23.0,68.0,54.0,130.0,108,290
62,Isaiah Canaan,33,572,15.0,9.7,1.9,9.0,1.1,7.9,0.189,35,28,31,13.0,24.0,14.0,22.0,3.0,10.0,7.0,20.0,24,88
63,Clint Capela,43,1000,19.6,11.6,1.0,6.3,11.2,24.4,0.321,113,57,114,193.0,263.0,30.0,82.0,1.0,3.0,,,0,0
64,DeMarre Carroll,52,1418,15.8,7.7,2.2,5.3,3.7,13.1,0.204,102,67,87,43.0,70.0,24.0,59.0,9.0,21.0,14.0,33.0,86,244
65,Vince Carter,50,1202,15.4,6.8,1.7,11.7,2.3,13.2,0.25,114,62,86,33.0,66.0,14.0,31.0,2.0,16.0,10.0,28.0,74,203
66,Michael Carter-Williams,26,579,20.7,15.9,1.8,18.3,3.3,19.8,0.286,67,45,59,27.0,41.0,28.0,66.0,10.0,35.0,6.0,17.0,9,43
67,Omri Casspi,22,397,16.3,11.9,1.3,10.3,5.9,20.6,0.179,23,12,21,32.0,53.0,10.0,32.0,0.0,2.0,0.0,1.0,11,29
68,Willie Cauley-Stein,50,649,19.5,10.4,2.0,6.9,8.4,16.0,0.283,89,38,63,82.0,115.0,33.0,71.0,4.0,20.0,6.0,15.0,0,2
69,Tyson Chandler,47,1298,11.4,19.2,1.2,3.3,12.8,33.7,0.544,126,91,124,145.0,204.0,8.0,22.0,0.0,1.0,0.0,1.0,0,0
70,Wilson Chandler,50,1544,22.3,10.5,1.4,10.6,5.6,18.7,0.206,120,101,138,118.0,173.0,58.0,140.0,23.0,65.0,32.0,75.0,73,216
71,Marquese Chriss,57,1070,19.7,12.2,2.0,5.1,6.5,14.4,0.261,174,65,103,89.0,157.0,17.0,51.0,7.0,18.0,11.0,30.0,41,138
72,Semaj Christon,40,590,14.1,14.3,1.2,21.5,2.6,8.0,0.146,50,11,23,24.0,45.0,7.0,24.0,9.0,28.0,6.0,20.0,8,42
73,Ian Clark,51,727,18.9,10.4,1.8,12.1,2.0,8.6,0.149,51,30,40,38.0,60.0,15.0,34.0,16.0,35.0,15.0,28.0,44,111
