,Player1,Player2,Player3,Player4,Player5,Team,GP,MP,POSS,DPOSS,DFGM,DFGA,D3PM,D3PA,DFTM,DFTA,DPTS
6664,Giannis Antetokounmpo,Michael Beasley,Malcolm Brogdon,Jabari Parker,Jason Terry,MIL,2,3.1,6,5,1,6,0,1,1,2,3
6665,Alec Burks,Boris Diaw,Rudy Gobert,Gordon Hayward,Shelvin Mack,UTA,1,1.2,3,2,1,5,1,2,0,0,3
6666,Trevor Booker,Randy Foye,Joe Harris,Brook Lopez,Isaiah Whitehead,BRK,4,1.0,1,1,1,3,1,1,0,0,3
6667,Wayne Ellington,Rodney McGruder,Willie Reed,Josh Richardson,Justise Winslow,MIA,1,2.0,3,4,1,3,0,0,1,1,3
6668,Boris Diaw,Derrick Favors,Gordon Hayward,Joe Ingles,Raul Neto,UTA,1,1.0,3,3,1,2,1,1,0,0,3
6669,Tony Allen,Troy Daniels,James Ennis,Marc Gasol,Zach Randolph,MEM,3,2.7,5,5,1,4,1,2,0,0,3
6670,Goran Dragic,Wayne Ellington,Rodney McGruder,Hassan Whiteside,Justise Winslow,MIA,1,2.9,7,7,1,6,0,2,1,1,3
6671,Dante Exum,Derrick Favors,George Hill,Rodney Hood,Trey Lyles,UTA,2,1.6,2,3,1,3,1,2,0,0,3
6672,Roy Hibbert,Jeremy Lamb,Ramon Sessions,Kemba Walker,Marvin Williams,CHO,1,0.6,2,2,1,2,0,1,1,1,3
6673,Will Barton,Alonzo Gee,Emmanuel Mudiay,Jameer Nelson,Jusuf Nurkic,DEN,1,0.9,2,2,1,1,1,1,0,0,3
6674,Robert Covington,Timothe Luwawu-Cabarrot,Nerlens Noel,Sergio Rodriguez,Nik Stauskas,PHI,1,0.2,0,1,1,1,1,1,0,0,3
6675,Kay Felder,Channing Frye,LeBron James,Kyle Korver,Tristan Thompson,CLE,1,0.8,2,2,1,3,0,2,1,1,3
6676,Dragan Bender,Eric Bledsoe,Devin Booker,Jared Dudley,Brandon Knight,PHO,2,0.8,2,3,1,4,0,1,1,1,3
6677,LaMarcus Aldridge,Kyle Anderson,Manu Ginobili,David Lee,Tony Parker,SAS,3,1.0,1,1,1,1,0,0,1,1,3
6678,Ryan Anderson,Corey Brewer,Sam Dekker,Tyler Ennis,Nene Hilario,HOU,1,1.0,2,1,1,1,0,0,1,1,3
6679,Sheldon McClellan,Markieff Morris,Jason Smith,Marcus Thornton,John Wall,WAS,1,0.7,1,1,1,2,0,0,1,1,3
6680,Bojan Bogdanovic,Spencer Dinwiddie,Rondae Hollis-Jefferson,Luis Scola,Isaiah Whitehead,BRK,1,1.5,2,2,1,3,0,0,1,1,3
6681,Ian Clark,Stephen Curry,Andre Iguodala,JaVale McGee,David West,GSW,1,1.9,5,5,1,4,1,2,0,0,3
6682,Mike Dunleavy,Kay Felder,Channing Frye,Iman Shumpert,Tristan Thompson,CLE,2,1.8,4,5,1,4,1,2,0,0,3
6683,Kyle Anderson,Davis Bertans,Pau Gasol,Tony Parker,Jonathon Simmons,SAS,1,1.9,4,5,1,3,0,2,1,2,3
6684,Avery Bradley,Jae Crowder,Al Horford,Marcus Smart,Tyler Zeller,BOS,5,0.4,2,3,0,0,0,0,3,3,3
6685,Tarik Black,Luol Deng,Larry Nance Jr.,D'Angelo Russell,Nick Young,LAL,7,3.5,8,5,0,6,0,5,3,4,3
6686,Darrell Arthur,Will Barton,Juan Hernangomez,Emmanuel Mudiay,Jusuf Nurkic,DEN,1,1.5,3,3,1,2,1,1,0,0,3
6687,Anthony Davis,Langston Galloway,Archie Goodwin,Solomon Hill,Terrence Jones,NOP,2,3.7,8,8,1,7,1,3,0,0,3
6688,Anthony Bennett,Spencer Dinwiddie,Sean Kilpatrick,Caris LeVert,Luis Scola,BRK,1,0.9,2,2,1,2,1,1,0,0,3
6689,Vince Carter,Mike Conley,Troy Daniels,Marc Gasol,Andrew Harrison,MEM,2,0.7,2,3,1,2,0,1,1,1,3
6690,Goran Dragic,Josh Richardson,Hassan Whiteside,Derrick Williams,Justise Winslow,MIA,1,1.6,5,4,1,4,1,2,0,0,3
6691,Trey Burke,Marcin Gortat,Kelly Oubre,Otto Porter,John Wall,WAS,2,3.8,8,9,1,7,0,2,1,1,3
6692,Channing Frye,Kyrie Irving,LeBron James,Iman Shumpert,J.R. Smith,CLE,4,1.1,3,4,1,2,0,0,1,1,3
6693,Anthony Bennett,Bojan Bogdanovic,Rondae Hollis-Jefferson,Sean Kilpatrick,Chris McCullough,BRK,1,1.8,3,3,1,3,0,1,1,1,3
6694,Arron Afflalo,Omri Casspi,Kosta Koufos,Ty Lawson,Garrett Temple,SAC,1,1.7,3,3,0,4,0,0,3,3,3
6695,Omer Asik,Tim Frazier,Buddy Hield,Terrence Jones,E'Twaun Moore,NOP,2,1.9,4,3,1,2,1,2,0,0,3
6696,Darren Collison,Skal Labissiere,Ben McLemore,Georgios Papagiannis,Malachi Richardson,SAC,1,2.2,5,4,1,4,1,3,0,0,3
6697,Allen Crabbe,Maurice Harkless,Damian Lillard,Evan Turner,Noah Vonleh,POR,3,2.9,6,5,1,5,1,3,0,0,3
6698,Cristiano Felicio,Taj Gibson,Doug McDermott,Rajon Rondo,Dwyane Wade,CHI,1,1.1,2,1,1,2,0,0,1,1,3
6699,Harrison Barnes,Nicolas Brussino,Devin Harris,Salah Mejri,Deron Williams,DAL,1,1.2,3,3,1,2,1,1,0,0,3
6700,Tim Frazier,Langston Galloway,Buddy Hield,Solomon Hill,Donatas Motiejunas,NOP,1,3.1,5,4,1,5,0,3,1,2,3
6701,Goran Dragic,James Johnson,Willie Reed,Josh Richardson,Justise Winslow,MIA,1,3.2,8,7,1,6,1,4,0,0,3
6702,Anthony Bennett,Bojan Bogdanovic,Trevor Booker,Caris LeVert,Jeremy Lin,BRK,1,0.2,1,1,1,1,1,1,0,0,3
6703,Aron Baynes,Reggie Bullock,Tobias Harris,Reggie Jackson,Stanley Johnson,DET,2,2.6,4,4,1,5,0,1,1,1,3
6704,Kyle Anderson,Pau Gasol,Danny Green,Patty Mills,Jonathon Simmons,SAS,1,4.1,7,7,1,4,0,1,1,3,3
6705,Alex Abrines,Steven Adams,Jerami Grant,Cameron Payne,Andre Roberson,OKC,1,0.4,1,1,1,1,1,1,0,0,3
6706,Vince Carter,Marc Gasol,JaMychal Green,Andrew Harrison,Troy Williams,MEM,3,1.8,4,3,1,4,1,1,0,1,3
6707,Tony Allen,Deyonta Davis,JaMychal Green,Andrew Harrison,Troy Williams,MEM,2,0.4,0,1,1,1,1,1,0,0,3
6708,Brandon Jennings,Mindaugas Kuzminskas,Marshall Plumlee,Kristaps Porzingis,Derrick Rose,NYK,2,3.3,7,5,1,3,0,0,1,1,3
6709,Jordan Clarkson,Timofey Mozgov,Thomas Robinson,Lou Williams,Nick Young,LAL,2,0.1,0,1,1,1,1,1,0,0,3
6710,Will Barton,Nikola Jokic,Jamal Murray,Jameer Nelson,Johnny O'Bryant,DEN,1,1.7,3,3,1,3,0,0,1,1,3
6711,Kyle Anderson,Bryn Forbes,Pau Gasol,Kawhi Leonard,Dejounte Murray,SAS,1,0.2,0,1,1,1,1,1,0,0,3
6712,Quincy Acy,Spencer Dinwiddie,Randy Foye,Caris LeVert,Brook Lopez,BRK,2,2.5,5,5,1,3,0,0,1,1,3
6713,Kyle Anderson,Pau Gasol,Nicolas Laprovittola,David Lee,Kawhi Leonard,SAS,1,0.9,2,2,1,1,0,0,1,1,3
6714,Ron Baker,Justin Holiday,Brandon Jennings,Mindaugas Kuzminskas,Kyle O'Quinn,NYK,2,2.1,4,2,1,2,0,0,1,2,3
6715,Gerald Henderson,Richaun Holmes,Timothe Luwawu-Cabarrot,Chasson Randle,Dario Saric,PHI,1,1.3,3,3,1,3,1,3,0,0,3
6716,Bojan Bogdanovic,Justin Hamilton,Caris LeVert,Luis Scola,Isaiah Whitehead,BRK,1,1.2,3,3,1,3,0,1,1,1,3
6717,Marcin Gortat,Markieff Morris,Tomas Satoransky,Marcus Thornton,John Wall,WAS,1,1.1,3,4,1,2,0,1,1,1,3
6718,Davis Bertans,Manu Ginobili,Danny Green,David Lee,Patty Mills,SAS,2,4.7,9,10,1,6,1,2,0,0,3
6719,LaMarcus Aldridge,Davis Bertans,Danny Green,Patty Mills,Jonathon Simmons,SAS,1,1.5,3,3,1,3,0,2,1,1,3
6720,D.J. Augustin,Aaron Gordon,Jeff Green,Serge Ibaka,Elfrid Payton,ORL,3,2.1,3,4,1,5,1,3,0,0,3
6721,Bradley Beal,Trey Burke,Markieff Morris,Otto Porter,John Wall,WAS,1,0.2,2,1,1,1,1,1,0,0,3
6722,Arron Afflalo,Matt Barnes,Willie Cauley-Stein,Darren Collison,Ben McLemore,SAC,2,1.0,2,1,1,1,0,0,1,1,3
6723,Mike Dunleavy,Channing Frye,DeAndre Liggins,Jordan McRae,Iman Shumpert,CLE,2,0.5,1,2,1,2,0,1,1,1,3
6724,LaMarcus Aldridge,Kyle Anderson,Danny Green,Dejounte Murray,Jonathon Simmons,SAS,1,2.1,3,4,0,3,0,0,3,3,3
6725,Gerald Green,Jonas Jerebko,Jordan Mickey,Terry Rozier,Marcus Smart,BOS,1,1.9,3,2,1,4,0,0,1,1,3
6726,DeMarre Carroll,Cory Joseph,Kyle Lowry,Patrick Patterson,Jonas Valanciunas,TOR,2,3.0,6,5,1,5,0,1,1,1,3
6727,Nemanja Bjelica,Gorgui Dieng,Shabazz Muhammad,Ricky Rubio,Lance Stephenson,MIN,3,0.9,2,2,1,2,1,1,0,0,3
6728,Davis Bertans,Dewayne Dedmon,Bryn Forbes,Nicolas Laprovittola,Jonathon Simmons,SAS,1,3.7,7,6,1,4,0,1,1,3,3
6729,LaMarcus Aldridge,Kyle Anderson,Manu Ginobili,Kawhi Leonard,Tony Parker,SAS,1,1.2,3,3,0,0,0,0,3,3,3
6730,Nicolas Batum,Spencer Hawes,Michael Kidd-Gilchrist,Kemba Walker,Cody Zeller,CHO,2,2.1,3,4,1,2,0,0,1,1,3
6731,Boris Diaw,Dante Exum,Gordon Hayward,Joe Ingles,Trey Lyles,UTA,2,1.6,4,3,1,2,1,2,0,0,3
6732,D.J. Augustin,Bismack Biyombo,Mario Hezonja,Serge Ibaka,Elfrid Payton,ORL,1,0.7,1,2,1,2,0,0,1,1,3
6733,James Ennis,Andrew Harrison,Jarell Martin,Chandler Parsons,Zach Randolph,MEM,2,2.9,6,4,1,3,1,2,0,0,3
6734,Spencer Dinwiddie,Joe Harris,Caris LeVert,Brook Lopez,Luis Scola,BRK,1,0.7,3,3,1,2,0,0,1,1,3
6735,DeAndre' Bembry,Tim Hardaway,Kris Humphries,Mike Muscala,Thabo Sefolosha,ATL,1,2.2,4,4,1,4,1,4,0,0,3
6736,Mike Conley,Marc Gasol,JaMychal Green,Andrew Harrison,Chandler Parsons,MEM,2,1.2,2,2,1,2,1,1,0,0,3
6737,Malcolm Brogdon,Greg Monroe,Tony Snell,Mirza Teletovic,Rashad Vaughn,MIL,2,1.6,2,4,1,2,0,0,1,1,3
6738,Tony Allen,Vince Carter,Deyonta Davis,JaMychal Green,Andrew Harrison,MEM,1,0.7,1,1,1,1,0,0,1,1,3
6739,Anthony Davis,Langston Galloway,Buddy Hield,Solomon Hill,E'Twaun Moore,NOP,5,0.5,2,2,1,1,0,0,1,1,3
6740,DeMar DeRozan,Kyle Lowry,Terrence Ross,Pascal Siakam,Jared Sullinger,TOR,1,0.7,1,2,1,2,1,2,0,0,3
6741,Andre Drummond,Henry Ellenson,Reggie Jackson,Stanley Johnson,Marcus Morris,DET,1,0.5,1,1,1,1,1,1,0,0,3
6742,Mike Conley,Deyonta Davis,James Ennis,Chandler Parsons,Zach Randolph,MEM,2,1.8,3,2,1,2,0,1,1,1,3
6743,Jerami Grant,Joffrey Lauvergne,Victor Oladipo,Andre Roberson,Domantas Sabonis,OKC,1,1.8,4,4,1,3,0,1,1,1,3
6744,Malcolm Delaney,Tim Hardaway,Kris Humphries,Taurean Waller-Prince,Mike Scott,ATL,3,2.4,5,4,0,1,0,0,3,3,3
6745,Robin Lopez,Doug McDermott,Nikola Mirotic,Rajon Rondo,Paul Zipser,CHI,3,2.0,4,4,1,4,1,4,0,0,3
6746,Jaylen Brown,Jae Crowder,Jonas Jerebko,Kelly Olynyk,Isaiah Thomas,BOS,3,1.0,2,2,1,1,0,0,1,1,3
6747,Steven Adams,Semaj Christon,Jerami Grant,Anthony Morrow,Victor Oladipo,OKC,2,0.9,1,2,1,1,1,1,0,1,3
6748,Jimmy Butler,Robin Lopez,Nikola Mirotic,Rajon Rondo,Denzel Valentine,CHI,1,1.2,2,2,1,2,0,0,1,1,3
6749,Cole Aldrich,Nemanja Bjelica,Shabazz Muhammad,Ricky Rubio,Lance Stephenson,MIN,2,1.4,3,4,1,3,0,1,1,1,3
6750,Bradley Beal,Markieff Morris,Andrew Nicholson,Kelly Oubre,Tomas Satoransky,WAS,1,2.4,4,3,1,5,1,2,0,0,3
6751,Jimmy Butler,Jerian Grant,Robin Lopez,Nikola Mirotic,Paul Zipser,CHI,3,1.6,4,4,1,2,1,1,0,0,3
6752,Michael Carter-Williams,Cristiano Felicio,Jerian Grant,Nikola Mirotic,Rajon Rondo,CHI,1,0.3,2,1,1,1,1,1,0,0,3
6753,Ron Baker,Justin Holiday,Courtney Lee,Kyle O'Quinn,Lance Thomas,NYK,2,0.1,0,1,1,1,1,1,0,0,3
6754,Allen Crabbe,Meyers Leonard,Damian Lillard,C.J. McCollum,Evan Turner,POR,8,2.2,6,3,0,2,0,1,3,3,3
6755,Jake Layman,Meyers Leonard,Damian Lillard,C.J. McCollum,Mason Plumlee,POR,1,0.7,2,1,0,0,0,0,3,3,3
6756,Aron Baynes,Kentavious Caldwell-Pope,Andre Drummond,Reggie Jackson,Marcus Morris,DET,1,1.9,2,2,0,2,0,0,3,3,3
6757,LaMarcus Aldridge,Dewayne Dedmon,Danny Green,Kawhi Leonard,Jonathon Simmons,SAS,1,0.4,2,2,1,3,0,2,1,1,3
6758,Jimmy Butler,Taj Gibson,Doug McDermott,Nikola Mirotic,Paul Zipser,CHI,1,1.7,3,3,1,3,1,2,0,0,3
6759,Jerryd Bayless,Richaun Holmes,T.J. McConnell,Dario Saric,Nik Stauskas,PHI,1,2.0,4,4,1,3,1,2,0,0,3
6760,Bradley Beal,Marcin Gortat,Andrew Nicholson,Tomas Satoransky,Marcus Thornton,WAS,1,1.5,3,2,1,4,0,2,1,1,3
