,Player1,Player2,Player3,Player4,Player5,Team,GP,MP,POSS,DPOSS,DFGM,DFGA,D3PM,D3PA,DFTM,DFTA,DPTS
9477,Justin Anderson,Dorian Finney-Smith,Devin Harris,Salah Mejri,Deron Williams,DAL,1,0.0,0,0,0,0,0,0,0,0,0
9478,Anthony Bennett,Bojan Bogdanovic,Joe Harris,Sean Kilpatrick,Luis Scola,BRK,1,0.4,2,1,0,1,0,0,0,0,0
9479,Cole Aldrich,Gorgui Dieng,Shabazz Muhammad,Ricky Rubio,Lance Stephenson,MIN,1,0.0,0,0,0,0,0,0,0,0,0
9480,Mike Conley,Troy Daniels,Deyonta Davis,Toney Douglas,Zach Randolph,MEM,1,0.0,0,0,0,0,0,0,0,0,0
9481,Malcolm Brogdon,Matthew Dellavedova,John Henson,Jabari Parker,Mirza Teletovic,MIL,1,2.1,4,4,0,4,0,0,0,1,0
9482,Jake Layman,Shabazz Napier,Tim Quarterman,Evan Turner,Noah Vonleh,POR,1,0.0,0,0,0,0,0,0,0,0,0
9483,Robert Covington,Gerald Henderson,Richaun Holmes,Dario Saric,Nik Stauskas,PHI,1,0.0,0,0,0,0,0,0,0,0,0
9484,Tim Hardaway,Dwight Howard,Kyle Korver,Dennis Schroder,Thabo Sefolosha,ATL,1,0.0,0,0,0,0,0,0,0,0,0
9485,Wade Baldwin,Vince Carter,Mike Conley,James Ennis,Marc Gasol,MEM,1,0.0,0,0,0,0,0,0,0,0,0
9486,Bobby Brown,Sam Dekker,Eric Gordon,Montrezl Harrell,K.J. McDaniels,HOU,1,0.0,0,0,0,0,0,0,0,0,0
9487,Giannis Antetokounmpo,Malcolm Brogdon,John Henson,Jabari Parker,Mirza Teletovic,MIL,2,0.0,0,0,0,0,0,0,0,0,0
9488,Tony Allen,Wade Baldwin,Vince Carter,Mike Conley,Jarell Martin,MEM,1,0.0,0,0,0,0,0,0,0,0,0
9489,Omri Casspi,Rudy Gay,Kosta Koufos,Ty Lawson,Ben McLemore,SAC,2,3.6,7,5,0,3,0,0,0,2,0
9490,Cristiano Felicio,Jerian Grant,Doug McDermott,Bobby Portis,Denzel Valentine,CHI,1,0.0,0,0,0,0,0,0,0,0,0
9491,Al-Farouq Aminu,Pat Connaughton,Allen Crabbe,Damian Lillard,Noah Vonleh,POR,1,0.0,0,0,0,0,0,0,0,0,0
9492,Jae Crowder,Jonas Jerebko,Amir Johnson,Terry Rozier,Marcus Smart,BOS,2,0.0,0,0,0,0,0,0,0,0,0
9493,Steven Adams,Semaj Christon,Nick Collison,Andre Roberson,Russell Westbrook,OKC,1,0.8,2,1,0,1,0,1,0,0,0
9494,Chris Andersen,Kyrie Irving,Kevin Love,Iman Shumpert,Tristan Thompson,CLE,1,0.0,0,0,0,0,0,0,0,0,0
9495,Goran Dragic,Tyler Johnson,Rodney McGruder,Josh Richardson,Hassan Whiteside,MIA,1,0.0,0,0,0,0,0,0,0,0,0
9496,Arron Afflalo,Omri Casspi,DeMarcus Cousins,Garrett Temple,Anthony Tolliver,SAC,1,0.0,0,0,0,0,0,0,0,0,0
9497,Justin Anderson,Seth Curry,Devin Harris,Salah Mejri,Deron Williams,DAL,3,0.0,0,0,0,0,0,0,0,0,0
9498,Darren Collison,Kosta Koufos,Ty Lawson,Ben McLemore,Anthony Tolliver,SAC,1,0.0,0,0,0,0,0,0,0,0,0
9499,Brandon Bass,Raymond Felton,Wesley Johnson,Luc Mbah a Moute,Marreese Speights,LAC,2,0.0,0,0,0,0,0,0,0,0,0
9500,Mike Conley,Deyonta Davis,Andrew Harrison,Jarell Martin,Troy Williams,MEM,1,0.0,0,0,0,0,0,0,0,0,0
9501,Nicolas Batum,Marco Belinelli,Roy Hibbert,Frank Kaminsky,Cody Zeller,CHO,1,0.0,0,0,0,0,0,0,0,0,0
9502,Robin Lopez,Doug McDermott,Bobby Portis,Denzel Valentine,Dwyane Wade,CHI,1,1.1,2,3,0,3,0,0,0,0,0
9503,Robert Covington,Gerald Henderson,Nerlens Noel,Jahlil Okafor,Dario Saric,PHI,1,0.0,0,0,0,0,0,0,0,0,0
9504,Aron Baynes,Andre Drummond,Tobias Harris,Stanley Johnson,Ish Smith,DET,2,0.0,0,0,0,0,0,0,0,0,0
9505,Tarik Black,Jordan Clarkson,Timofey Mozgov,Larry Nance Jr.,Nick Young,LAL,1,0.0,0,0,0,0,0,0,0,0,0
9506,Tony Allen,Wade Baldwin,JaMychal Green,Jarell Martin,Zach Randolph,MEM,1,0.0,0,0,0,0,0,0,0,0,0
9507,Alex Abrines,Nick Collison,Joffrey Lauvergne,Victor Oladipo,Russell Westbrook,OKC,1,0.0,0,0,0,0,0,0,0,0,0
9508,Juan Hernangomez,Emmanuel Mudiay,Jamal Murray,Jameer Nelson,Jusuf Nurkic,DEN,1,0.0,0,0,0,0,0,0,0,0,0
9509,Cristiano Felicio,Nikola Mirotic,Bobby Portis,Rajon Rondo,Dwyane Wade,CHI,1,0.0,0,0,0,0,0,0,0,0,0
9510,Carmelo Anthony,Justin Holiday,Courtney Lee,Kyle O'Quinn,Lance Thomas,NYK,1,0.1,1,1,0,0,0,0,0,2,0
9511,Al-Farouq Aminu,Allen Crabbe,Ed Davis,C.J. McCollum,Noah Vonleh,POR,1,0.0,0,0,0,0,0,0,0,0,0
9512,Spencer Dinwiddie,Randy Foye,Justin Hamilton,Joe Harris,Brook Lopez,BRK,2,1.3,3,2,0,2,0,0,0,0,0
9513,Malik Beasley,Wilson Chandler,Juan Hernangomez,Jamal Murray,Jameer Nelson,DEN,1,0.0,0,0,0,0,0,0,0,0,0
9514,Richaun Holmes,Ersan Ilyasova,T.J. McConnell,Dario Saric,Hollis Thompson,PHI,2,0.0,0,0,0,0,0,0,0,0,0
9515,Justin Anderson,J.J. Barea,Seth Curry,Wesley Matthews,Dwight Powell,DAL,1,0.0,0,0,0,0,0,0,0,0,0
9516,Kevin Durant,Andre Iguodala,Damian Jones,Patrick McCaw,Klay Thompson,GSW,1,1.1,3,2,0,1,0,0,0,0,0
9517,James Johnson,Josh Richardson,Dion Waiters,Hassan Whiteside,Justise Winslow,MIA,2,0.7,2,1,0,0,0,0,0,0,0
9518,Luke Babbitt,Goran Dragic,James Johnson,Rodney McGruder,Josh McRoberts,MIA,2,0.0,0,0,0,0,0,0,0,0,0
9519,Malcolm Brogdon,Matthew Dellavedova,Greg Monroe,Mirza Teletovic,Jason Terry,MIL,1,0.0,0,0,0,0,0,0,0,0,0
9520,Malcolm Delaney,Tim Hardaway,Dwight Howard,Mike Scott,Thabo Sefolosha,ATL,2,0.0,0,0,0,0,0,0,0,0,0
9521,Bismack Biyombo,Evan Fournier,Jeff Green,Mario Hezonja,Nikola Vucevic,ORL,1,0.0,0,0,0,0,0,0,0,0,0
9522,Aron Baynes,Kentavious Caldwell-Pope,Darrun Hilliard,Jon Leuer,Ish Smith,DET,1,0.5,1,1,0,1,0,0,0,1,0
9523,Tim Hardaway,Kris Humphries,Ryan Kelly,Mike Muscala,Taurean Waller-Prince,ATL,1,0.0,0,0,0,0,0,0,0,0,0
9524,Wade Baldwin,Vince Carter,Troy Daniels,James Ennis,Troy Williams,MEM,1,0.0,0,0,0,0,0,0,0,0,0
9525,DeMar DeRozan,Kyle Lowry,Lucas Nogueira,Patrick Patterson,Jonas Valanciunas,TOR,1,0.0,0,0,0,0,0,0,0,0,0
9526,Tarik Black,Jordan Clarkson,Brandon Ingram,Timofey Mozgov,D'Angelo Russell,LAL,1,0.0,0,0,0,0,0,0,0,0,0
9527,Tony Allen,Wade Baldwin,Troy Daniels,James Ennis,JaMychal Green,MEM,1,0.6,1,1,0,0,0,0,0,0,0
9528,Alex Abrines,Semaj Christon,Enes Kanter,Joffrey Lauvergne,Russell Westbrook,OKC,1,0.0,0,0,0,0,0,0,0,0,0
9529,Trey Burke,Marcin Gortat,Markieff Morris,Jason Smith,Marcus Thornton,WAS,1,0.0,0,0,0,0,0,0,0,0,0
9530,Al-Farouq Aminu,Pat Connaughton,Damian Lillard,C.J. McCollum,Evan Turner,POR,1,0.0,1,0,0,0,0,0,0,0,0
9531,Bojan Bogdanovic,Trevor Booker,Randy Foye,Rondae Hollis-Jefferson,Isaiah Whitehead,BRK,1,0.2,2,1,0,1,0,1,0,0,0
9532,Semaj Christon,Enes Kanter,Anthony Morrow,Domantas Sabonis,Kyle Singler,OKC,1,0.5,2,1,0,1,0,1,0,0,0
9533,Metta World Peace,Marcelo Huertas,Brandon Ingram,D'Angelo Russell,Ivica Zubac,LAL,1,0.8,2,1,0,1,0,0,0,0,0
9534,Joel Bolomboy,Dante Exum,George Hill,Rodney Hood,Joe Ingles,UTA,1,0.0,0,0,0,0,0,0,0,0,0
9535,Jonathan Gibson,Devin Harris,Wesley Matthews,Dwight Powell,Deron Williams,DAL,1,0.0,0,0,0,0,0,0,0,0,0
9536,Omer Asik,Langston Galloway,Buddy Hield,Solomon Hill,E'Twaun Moore,NOP,1,0.0,0,0,0,0,0,0,0,0,0
9537,Justin Anderson,Yogi Ferrell,Dorian Finney-Smith,Devin Harris,Deron Williams,DAL,1,0.0,0,0,0,0,0,0,0,0,0
9538,Anthony Bennett,Bojan Bogdanovic,Justin Hamilton,Sean Kilpatrick,Isaiah Whitehead,BRK,1,0.0,0,0,0,0,0,0,0,0,0
9539,James Johnson,Tyler Johnson,Willie Reed,Hassan Whiteside,Justise Winslow,MIA,1,0.0,0,0,0,0,0,0,0,0,0
9540,Malcolm Delaney,Mike Dunleavy,Mike Muscala,Dennis Schroder,Mike Scott,ATL,1,0.0,0,0,0,0,0,0,0,0,0
9541,Jake Layman,Meyers Leonard,Damian Lillard,C.J. McCollum,Noah Vonleh,POR,1,0.0,0,0,0,0,0,0,0,0,0
9542,Robert Covington,Gerald Henderson,Richaun Holmes,Ersan Ilyasova,Hollis Thompson,PHI,1,0.0,0,0,0,0,0,0,0,0,0
9543,Aron Baynes,Kentavious Caldwell-Pope,Andre Drummond,Reggie Jackson,Ish Smith,DET,1,0.0,0,0,0,0,0,0,0,0,0
9544,Tim Hardaway,Dwight Howard,Kris Humphries,Paul Millsap,Dennis Schroder,ATL,1,0.0,0,0,0,0,0,0,0,0,0
9545,Michael Carter-Williams,Cristiano Felicio,Bobby Portis,Rajon Rondo,Denzel Valentine,CHI,1,0.0,0,0,0,0,0,0,0,0,0
9546,Ron Baker,Courtney Lee,Joakim Noah,Kyle O'Quinn,Derrick Rose,NYK,1,0.0,0,0,0,0,0,0,0,0,0
9547,Dante Exum,Joe Ingles,Joe Johnson,Raul Neto,Jeff Withey,UTA,1,0.0,0,0,0,0,0,0,0,0,0
9548,Bobby Brown,Sam Dekker,Tyler Ennis,Eric Gordon,K.J. McDaniels,HOU,1,0.0,0,0,0,0,0,0,0,0,0
9549,Kent Bazemore,Mike Dunleavy,Tim Hardaway,Kris Humphries,Dennis Schroder,ATL,1,0.0,0,0,0,0,0,0,0,0,0
9550,Leandro Barbosa,Eric Bledsoe,Jared Dudley,P.J. Tucker,T.J. Warren,PHO,1,0.0,0,0,0,0,0,0,0,0,0
9551,Cristiano Felicio,Jerian Grant,Robin Lopez,Nikola Mirotic,Dwyane Wade,CHI,1,0.0,0,0,0,0,0,0,0,0,0
9552,Carmelo Anthony,Willy Hernangomez,Derrick Rose,Lance Thomas,Sasha Vujacic,NYK,1,0.0,0,0,0,0,0,0,0,0,0
9553,Gorgui Dieng,Kris Dunn,Shabazz Muhammad,Brandon Rush,Andrew Wiggins,MIN,1,0.9,1,2,0,2,0,1,0,0,0
9554,Bradley Beal,Markieff Morris,Kelly Oubre,Otto Porter,Tomas Satoransky,WAS,1,0.1,0,0,0,0,0,0,0,1,0
9555,Quincy Acy,Randy Foye,Caris LeVert,Brook Lopez,Isaiah Whitehead,BRK,1,0.0,0,0,0,0,0,0,0,0,0
9556,Justin Holiday,Mindaugas Kuzminskas,Courtney Lee,Joakim Noah,Derrick Rose,NYK,1,0.0,0,0,0,0,0,0,0,0,0
9557,Metta World Peace,Jordan Clarkson,Marcelo Huertas,Brandon Ingram,Lou Williams,LAL,1,0.0,0,0,0,0,0,0,0,0,0
9558,Chris Andersen,Kyrie Irving,LeBron James,DeAndre Liggins,Iman Shumpert,CLE,1,0.1,0,1,0,1,0,0,0,0,0
9559,Brandon Ingram,Julius Randle,Lou Williams,Nick Young,Ivica Zubac,LAL,2,0.0,0,0,0,0,0,0,0,0,0
9560,Matt Barnes,Rudy Gay,Ty Lawson,Ben McLemore,Garrett Temple,SAC,1,0.0,0,0,0,0,0,0,0,0,0
9561,Paul George,C.J. Miles,Kevin Seraphin,Joe Young,Thaddeus Young,IND,1,0.0,0,0,0,0,0,0,0,0,0
9562,Jimmy Butler,Jerian Grant,Doug McDermott,Rajon Rondo,Dwyane Wade,CHI,1,0.0,0,0,0,0,0,0,0,0,0
9563,Justin Anderson,Seth Curry,Jonathan Gibson,Salah Mejri,Deron Williams,DAL,1,0.0,0,0,0,0,0,0,0,0,0
9564,Kris Dunn,Tyus Jones,Ricky Rubio,Karl-Anthony Towns,Andrew Wiggins,MIN,1,0.0,0,0,0,0,0,0,0,0,0
9565,Anthony Davis,Tyreke Evans,Langston Galloway,Buddy Hield,Jrue Holiday,NOP,2,0.6,2,1,0,0,0,0,0,0,0
9566,Jerami Grant,Gerald Henderson,Jahlil Okafor,Sergio Rodriguez,Nik Stauskas,PHI,1,0.7,1,1,0,1,0,0,0,0,0
9567,D.J. Augustin,Elfrid Payton,Nikola Vucevic,C.J. Watson,C.J. Wilcox,ORL,1,0.0,0,0,0,0,0,0,0,0,0
9568,Corey Brewer,Clint Capela,Sam Dekker,Eric Gordon,Nene Hilario,HOU,1,0.0,0,0,0,0,0,0,0,0,0
9569,Monta Ellis,C.J. Miles,Georges Niang,Glenn Robinson,Jeff Teague,IND,1,0.0,0,0,0,0,0,0,0,0,0
9570,Patrick Beverley,Corey Brewer,Sam Dekker,Eric Gordon,James Harden,HOU,1,0.0,0,0,0,0,0,0,0,0,0
9571,LaMarcus Aldridge,Dewayne Dedmon,Danny Green,Patty Mills,Tony Parker,SAS,1,0.0,0,0,0,0,0,0,0,0,0
9572,Jeremy Lamb,Brian Roberts,Ramon Sessions,Kemba Walker,Cody Zeller,CHO,2,0.0,0,0,0,0,0,0,0,0,0
9573,Michael Carter-Williams,Cristiano Felicio,Jerian Grant,Bobby Portis,Dwyane Wade,CHI,1,1.5,3,2,0,2,0,1,0,0,0
9574,Lavoy Allen,Paul George,Rodney Stuckey,Jeff Teague,Myles Turner,IND,1,0.1,0,0,0,0,0,0,0,0,0
9575,Norman Powell,Terrence Ross,Pascal Siakam,Jared Sullinger,Fred VanVleet,TOR,1,0.0,0,0,0,0,0,0,0,0,0
9576,Omri Casspi,Willie Cauley-Stein,Kosta Koufos,Ty Lawson,Garrett Temple,SAC,1,1.2,2,3,0,1,0,1,0,1,0
9577,Tony Allen,Marc Gasol,JaMychal Green,Andrew Harrison,Jarell Martin,MEM,4,1.8,4,6,0,5,0,4,0,1,0
9578,Eric Bledsoe,Ronnie Price,P.J. Tucker,T.J. Warren,Alan Williams,PHO,1,0.0,0,0,0,0,0,0,0,0,0
9579,Quincy Acy,Spencer Dinwiddie,Joe Harris,Rondae Hollis-Jefferson,Sean Kilpatrick,BRK,1,0.0,0,0,0,0,0,0,0,0,0
9580,Harrison Barnes,Nicolas Brussino,Seth Curry,Wesley Matthews,Deron Williams,DAL,1,0.0,0,0,0,0,0,0,0,0,0
9581,Randy Foye,Rondae Hollis-Jefferson,Sean Kilpatrick,Caris LeVert,Isaiah Whitehead,BRK,2,0.0,0,0,0,0,0,0,0,0,0
9582,Chris Andersen,Mike Dunleavy,DeAndre Liggins,Kevin Love,Jordan McRae,CLE,1,0.0,0,0,0,0,0,0,0,0,0
9583,Marco Belinelli,Roy Hibbert,Ramon Sessions,Marvin Williams,Cody Zeller,CHO,1,0.0,0,0,0,0,0,0,0,0,0
9584,Arron Afflalo,Matt Barnes,Rudy Gay,Ty Lawson,Ben McLemore,SAC,1,0.0,0,0,0,0,0,0,0,0,0
9585,Paul George,Al Jefferson,Glenn Robinson,Rodney Stuckey,Jeff Teague,IND,1,0.0,0,0,0,0,0,0,0,0,0
9586,Trevor Booker,Joe Harris,Brook Lopez,Luis Scola,Isaiah Whitehead,BRK,1,0.0,0,0,0,0,0,0,0,0,0
9587,Justin Anderson,Seth Curry,Dorian Finney-Smith,Devin Harris,Pierre Jackson,DAL,1,0.0,0,0,0,0,0,0,0,0,0
9588,Darren Collison,DeMarcus Cousins,Rudy Gay,Ty Lawson,Ben McLemore,SAC,1,0.0,0,0,0,0,0,0,0,0,0
9589,Brandon Bass,Jamal Crawford,Wesley Johnson,DeAndre Jordan,J.J. Redick,LAC,1,0.4,1,1,0,1,0,0,0,0,0
9590,Treveon Graham,Aaron Harrison,Frank Kaminsky,Brian Roberts,Kemba Walker,CHO,1,0.0,0,0,0,0,0,0,0,0,0
9591,D.J. Augustin,Mario Hezonja,Serge Ibaka,Jodie Meeks,Elfrid Payton,ORL,1,0.0,0,0,0,0,0,0,0,0,0
9592,Robert Covington,Joel Embiid,Ersan Ilyasova,Nerlens Noel,Dario Saric,PHI,1,0.0,0,0,0,0,0,0,0,0,0
9593,DeMarre Carroll,Terrence Ross,Pascal Siakam,Jonas Valanciunas,Fred VanVleet,TOR,1,0.0,0,0,0,0,0,0,0,0,0
9594,Kent Bazemore,Malcolm Delaney,Dwight Howard,Taurean Waller-Prince,Mike Scott,ATL,1,0.0,0,0,0,0,0,0,0,0,0
9595,Carmelo Anthony,Willy Hernangomez,Justin Holiday,Mindaugas Kuzminskas,Joakim Noah,NYK,1,0.0,0,0,0,0,0,0,0,0,0
9596,Eric Bledsoe,Jared Dudley,Brandon Knight,Alex Len,Tyler Ulis,PHO,1,0.0,0,0,0,0,0,0,0,0,0
9597,Jae Crowder,Gerald Green,Al Horford,Terry Rozier,Isaiah Thomas,BOS,1,0.0,0,0,0,0,0,0,0,0,0
9598,Quincy Acy,Nicolas Brussino,Seth Curry,Wesley Matthews,Dwight Powell,DAL,1,0.2,1,0,0,0,0,0,0,0,0
9599,Alec Burks,Dante Exum,Rudy Gobert,Joe Johnson,Raul Neto,UTA,2,0.9,1,2,0,1,0,0,0,0,0
9600,C.J. Miles,Glenn Robinson,Myles Turner,Joe Young,Thaddeus Young,IND,1,0.0,0,0,0,0,0,0,0,0,0
9601,Vince Carter,Troy Daniels,JaMychal Green,Andrew Harrison,Troy Williams,MEM,1,0.0,0,0,0,0,0,0,0,0,0
9602,Leandro Barbosa,Dragan Bender,Eric Bledsoe,Brandon Knight,T.J. Warren,PHO,1,1.1,2,1,0,0,0,0,0,0,0
9603,Kay Felder,Channing Frye,Richard Jefferson,Jordan McRae,Iman Shumpert,CLE,1,0.1,0,0,0,0,0,0,0,0,0
9604,Jaylen Brown,Jordan Mickey,Kelly Olynyk,Terry Rozier,James Young,BOS,1,0.0,0,0,0,0,0,0,0,0,0
9605,Bradley Beal,Trey Burke,Markieff Morris,Andrew Nicholson,John Wall,WAS,1,0.0,0,0,0,0,0,0,0,0,0
9606,J.J. Barea,Seth Curry,Dorian Finney-Smith,Dwight Powell,Deron Williams,DAL,1,0.0,0,0,0,0,0,0,0,0,0
9607,Evan Fournier,Aaron Gordon,Jeff Green,Jodie Meeks,Nikola Vucevic,ORL,1,0.3,1,1,0,1,0,0,0,0,0
9608,Alec Burks,Boris Diaw,Dante Exum,Joe Johnson,Raul Neto,UTA,1,0.0,0,0,0,0,0,0,0,0,0
9609,Michael Beasley,Matthew Dellavedova,Jabari Parker,Mirza Teletovic,Jason Terry,MIL,1,0.0,0,0,0,0,0,0,0,0,0
9610,Ian Clark,Kevin Durant,Andre Iguodala,Shaun Livingston,James Michael McAdoo,GSW,1,0.0,0,0,0,0,0,0,0,0,0
9611,Matt Barnes,Willie Cauley-Stein,DeMarcus Cousins,Kosta Koufos,Garrett Temple,SAC,1,0.0,0,0,0,0,0,0,0,0,0
9612,Trevor Booker,Yogi Ferrell,Rondae Hollis-Jefferson,Sean Kilpatrick,Brook Lopez,BRK,1,0.0,0,0,0,0,0,0,0,0,0
9613,Justin Anderson,Andrew Bogut,Nicolas Brussino,Seth Curry,Dorian Finney-Smith,DAL,1,1.3,2,1,0,3,0,1,0,0,0
9614,Stephen Curry,Andre Iguodala,Kevon Looney,Klay Thompson,David West,GSW,1,0.0,0,0,0,0,0,0,0,0,0
9615,Alexis Ajinca,Anthony Davis,Tyreke Evans,Solomon Hill,E'Twaun Moore,NOP,1,0.2,1,0,0,0,0,0,0,0,0
9616,Aaron Gordon,Mario Hezonja,Jodie Meeks,Elfrid Payton,Nikola Vucevic,ORL,1,0.0,0,0,0,0,0,0,0,0,0
9617,Nicolas Batum,Roy Hibbert,Frank Kaminsky,Brian Roberts,Ramon Sessions,CHO,1,0.0,0,0,0,0,0,0,0,0,0
9618,Aaron Brooks,Monta Ellis,Glenn Robinson,Jeff Teague,Joe Young,IND,1,0.0,0,0,0,0,0,0,0,0,0
9619,Ryan Anderson,Clint Capela,Tyler Ennis,Eric Gordon,James Harden,HOU,1,0.0,0,0,0,0,0,0,0,0,0
9620,Luol Deng,Marcelo Huertas,Brandon Ingram,Timofey Mozgov,Julius Randle,LAL,1,0.0,0,0,0,0,0,0,0,0,0
9621,Robert Covington,Timothe Luwawu-Cabarrot,T.J. McConnell,Sergio Rodriguez,Dario Saric,PHI,2,0.0,0,0,0,0,0,0,0,0,0
9622,Kent Bazemore,DeAndre' Bembry,Mike Dunleavy,Dennis Schroder,Mike Scott,ATL,1,0.0,0,0,0,0,0,0,0,0,0
9623,Tobias Harris,Stanley Johnson,Boban Marjanovic,Marcus Morris,Beno Udrih,DET,1,0.0,0,0,0,0,0,0,0,0,0
9624,Vince Carter,Troy Daniels,Toney Douglas,James Ennis,JaMychal Green,MEM,1,0.0,0,0,0,0,0,0,0,0,0
9625,Wade Baldwin,JaMychal Green,Jarell Martin,Zach Randolph,Troy Williams,MEM,1,0.0,0,0,0,0,0,0,0,0,0
9626,Allen Crabbe,Ed Davis,Maurice Harkless,Shabazz Napier,Evan Turner,POR,1,0.0,0,0,0,0,0,0,0,0,0
9627,Kent Bazemore,Malcolm Delaney,Tim Hardaway,Kris Humphries,Taurean Waller-Prince,ATL,1,0.0,0,0,0,0,0,0,0,0,0
9628,Alex Abrines,Steven Adams,Semaj Christon,Anthony Morrow,Domantas Sabonis,OKC,1,0.0,0,0,0,0,0,0,0,0,0
9629,Gordon Hayward,Rodney Hood,Joe Johnson,Trey Lyles,Shelvin Mack,UTA,3,0.0,0,0,0,0,0,0,0,0,0
9630,Nicolas Brussino,Seth Curry,A.J. Hammons,Salah Mejri,Dwight Powell,DAL,1,0.0,0,0,0,0,0,0,0,0,0
9631,Marquese Chriss,Derrick Jones,P.J. Tucker,Tyler Ulis,Alan Williams,PHO,1,0.0,0,0,0,0,0,0,0,0,0
9632,Alan Anderson,Jamal Crawford,DeAndre Jordan,Luc Mbah a Moute,Chris Paul,LAC,2,1.0,1,2,0,2,0,0,0,0,0
9633,Marco Belinelli,Aaron Harrison,Spencer Hawes,Frank Kaminsky,Kemba Walker,CHO,1,0.0,0,0,0,0,0,0,0,0,0
9634,Justin Anderson,Andrew Bogut,Devin Harris,Salah Mejri,Deron Williams,DAL,1,0.0,0,0,0,0,0,0,0,0,0
9635,Richard Jefferson,Kyle Korver,Kevin Love,Iman Shumpert,Tristan Thompson,CLE,1,0.8,1,1,0,1,0,1,0,0,0
9636,Will Barton,Gary Harris,Emmanuel Mudiay,Jamal Murray,Jameer Nelson,DEN,1,0.0,0,0,0,0,0,0,0,0,0
9637,D.J. Augustin,Aaron Gordon,Jeff Green,Mario Hezonja,Elfrid Payton,ORL,1,0.0,0,0,0,0,0,0,0,0,0
9638,Kyle Anderson,Dewayne Dedmon,Danny Green,Kawhi Leonard,Dejounte Murray,SAS,1,1.3,3,3,0,2,0,2,0,0,0
9639,LaMarcus Aldridge,Joel Anthony,Danny Green,David Lee,Tony Parker,SAS,1,0.0,0,0,0,0,0,0,0,0,0
9640,Frank Kaminsky,Michael Kidd-Gilchrist,Jeremy Lamb,Miles Plumlee,Kemba Walker,CHO,1,0.0,0,0,0,0,0,0,0,0,0
9641,Pat Connaughton,Jake Layman,Damian Lillard,Shabazz Napier,Tim Quarterman,POR,1,0.0,0,0,0,0,0,0,0,0,0
9642,Aaron Brooks,Paul George,C.J. Miles,Rodney Stuckey,Jeff Teague,IND,2,0.0,0,0,0,0,0,0,0,0,0
9643,Luol Deng,Brandon Ingram,Timofey Mozgov,Thomas Robinson,D'Angelo Russell,LAL,1,0.0,0,0,0,0,0,0,0,0,0
9644,Paul Millsap,Mike Muscala,Taurean Waller-Prince,Dennis Schroder,Thabo Sefolosha,ATL,1,0.5,0,1,0,1,0,1,0,0,0
9645,Spencer Hawes,Frank Kaminsky,Michael Kidd-Gilchrist,Kemba Walker,Marvin Williams,CHO,1,0.0,0,0,0,0,0,0,0,0,0
9646,Jaylen Brown,Kelly Olynyk,Terry Rozier,Marcus Smart,James Young,BOS,1,0.4,1,0,0,0,0,0,0,0,0
9647,Bradley Beal,Trey Burke,Markieff Morris,Kelly Oubre,Marcus Thornton,WAS,3,0.1,0,0,0,0,0,0,0,0,0
9648,Quincy Acy,J.J. Barea,Seth Curry,Wesley Matthews,Salah Mejri,DAL,1,0.0,0,0,0,0,0,0,0,0,0
9649,Wilson Chandler,Juan Hernangomez,Nikola Jokic,Jamal Murray,Jusuf Nurkic,DEN,1,0.0,0,0,0,0,0,0,0,0,0
9650,J.J. Barea,Seth Curry,Dirk Nowitzki,Dwight Powell,Deron Williams,DAL,1,0.0,0,0,0,0,0,0,0,0,0
9651,Alec Burks,Boris Diaw,Derrick Favors,Gordon Hayward,Raul Neto,UTA,1,1.2,2,1,0,1,0,0,0,1,0
9652,Ersan Ilyasova,Enes Kanter,Victor Oladipo,Andre Roberson,Kyle Singler,OKC,2,0.0,0,0,0,0,0,0,0,0,0
9653,Ian Clark,Kevin Durant,Andre Iguodala,Shaun Livingston,Zaza Pachulia,GSW,2,0.0,0,0,0,0,0,0,0,0,0
9654,Justin Anderson,Andrew Bogut,Seth Curry,Dorian Finney-Smith,Wesley Matthews,DAL,1,0.0,0,0,0,0,0,0,0,0,0
9655,Stephen Curry,Andre Iguodala,JaVale McGee,Klay Thompson,David West,GSW,1,0.6,2,2,0,0,0,0,0,1,0
9656,Dragan Bender,Eric Bledsoe,Tyson Chandler,Jared Dudley,T.J. Warren,PHO,1,0.0,0,0,0,0,0,0,0,0,0
9657,Kyle Anderson,Dewayne Dedmon,Pau Gasol,Patty Mills,Dejounte Murray,SAS,1,0.0,0,0,0,0,0,0,0,0,0
9658,Dewayne Dedmon,Bryn Forbes,Pau Gasol,Kawhi Leonard,Patty Mills,SAS,1,0.0,0,0,0,0,0,0,0,0,0
9659,Pat Connaughton,Maurice Harkless,Jake Layman,Damian Lillard,Noah Vonleh,POR,1,0.0,0,0,0,0,0,0,0,0,0
9660,Aaron Brooks,Monta Ellis,Rodney Stuckey,Myles Turner,Thaddeus Young,IND,1,0.0,0,0,0,0,0,0,0,0,0
9661,Luol Deng,Marcelo Huertas,Brandon Ingram,Julius Randle,D'Angelo Russell,LAL,1,0.0,0,0,0,0,0,0,0,0,0
9662,Udonis Haslem,James Johnson,Tyler Johnson,Rodney McGruder,Josh McRoberts,MIA,1,0.0,0,0,0,0,0,0,0,0,0
9663,Leandro Barbosa,Dragan Bender,Eric Bledsoe,Devin Booker,Marquese Chriss,PHO,1,0.0,0,0,0,0,0,0,0,0,0
9664,Giannis Antetokounmpo,Greg Monroe,Tony Snell,Mirza Teletovic,Jason Terry,MIL,1,0.0,0,0,0,0,0,0,0,0,0
