,Name,GP,MP,USG%,TOV%,STL%,AST%,ORB%,DRB%,FTR,PF,FTM,FTA,RIM FGM,RIM FGA,3-10 FGM,3-10 FGA,10-16 FGM,10-16 FGA,16-23 FGM,16-23 FGA,3PM,3PA,DFGA,DFG%
147,Tim Hardaway,54,1354,22.7,8.9,1.2,14.3,1.5,9.5,0.214,64,90,125,106,164,18,47,17,39,23,58,96,275,62,58.1
148,James Harden,58,2123,34.5,19.7,1.9,50.7,3.6,21.4,0.581,156,543,637,,,,,,,,,186,527,223,70.4
149,Maurice Harkless,52,1504,16.3,11.1,2,5.4,6.3,11.7,0.155,142,48,72,128,223,25,50,3,5,10,25,55,159,137,53.3
150,Montrezl Harrell,46,878,17.9,10.8,1,10.2,8.7,13.5,0.339,92,63,97,135,185,30,60,1,8,10,20,1,3,151,62.9
151,Devin Harris,39,652,18.4,10.6,1.8,15.9,1.5,13.2,0.381,60,64,74,19,45,6,18,2,4,5,16,33,102,38,71.1
152,Gary Harris,32,917,19,10.4,2,13.3,3.4,9.1,0.229,50,57,77,81,131,13,36,6,16,7,27,53,126,43,72.1
153,Joe Harris,48,1057,16.5,12.2,1.3,7.8,1.4,12.1,0.139,114,34,47,48,88,10,22,3,6,6,19,79,204,94,71.3
154,Tobias Harris,57,1803,21.9,8.4,1.1,8.2,1.9,16.4,0.198,90,131,147,101,146,86,168,59,130,43,84,73,216,182,62.6
155,Andrew Harrison,53,1162,16.2,15.9,2,20.2,1.8,8.3,0.546,157,118,154,37,80,9,27,3,19,8,35,32,123,91,61.5
156,Udonis Haslem,16,129,12.6,21.9,2,6.5,6.8,23.1,0.682,21,9,15,9,11,2,5,0,4,0,2,0,2,21,71.4
157,Spencer Hawes,35,626,19.4,14.7,1,16.2,5.5,19.5,0.156,61,30,34,51,79,20,37,12,26,5,21,16,55,107,62.6
158,Gordon Hayward,50,1732,27.6,9.2,1.5,18.3,2.1,16.1,0.427,81,289,332,120,174,35,95,45,90,54,146,99,257,86,62.8
159,Gerald Henderson,51,1226,17.6,9.7,1.2,11.2,1.8,9.7,0.288,88,97,114,58,86,15,43,31,76,30,73,41,111,92,70.7
160,John Henson,46,930,16.4,14.2,1.4,8,8.1,20.9,0.401,121,70,99,77,121,39,89,4,14,6,22,0,1,198,61.6
161,Juan Hernangomez,40,512,13.5,8.6,1.6,5.4,6.7,18.7,0.364,43,33,47,28,47,3,14,0,2,1,5,26,61,65,69.2
162,Willy Hernangomez,49,769,18.7,17,1.4,10.2,13.2,27.3,0.283,80,51,70,100,155,19,47,9,21,3,13,3,11,195,55.9
163,Mario Hezonja,41,467,20.7,17,1.6,9.8,2.3,14.7,0.098,39,13,17,18,30,2,10,2,5,15,48,25,79,44,63.6
164,Roy Hibbert,42,671,13.8,14.9,0.6,4.5,8.5,15.8,0.521,97,61,75,39,56,19,45,9,17,11,26,0,0,131,47.3
165,Buddy Hield,57,1161,20.4,9,0.8,10.4,1.7,13.4,0.07,81,29,33,60,116,7,32,8,29,21,53,89,241,107,73.8
166,Nene Hilario,48,821,19,15.3,2.2,8.1,8,17.1,0.558,119,82,139,105,145,16,35,11,26,17,36,3,7,167,70.1
167,George Hill,32,1011,24.1,9.1,1.6,22.4,2.1,10.3,0.324,80,106,134,59,87,23,46,30,63,21,56,63,160,67,71.6
168,Solomon Hill,55,1565,11.2,13.2,1.5,8.4,1.9,11.7,0.271,126,67,83,47,86,6,22,6,17,1,10,61,171,158,64.6
169,Darrun Hilliard,27,290,19.5,15.8,1.2,11.1,0.8,9.8,0.25,31,17,24,7,12,4,14,3,8,8,26,9,36,14,78.6
170,Jrue Holiday,42,1359,24.6,17.1,2.4,38.4,2.5,10.7,0.222,105,87,126,103,172,42,93,29,55,26,79,66,168,109,64.2
171,Justin Holiday,57,1120,16.6,11.1,2.2,8.5,1.9,13.6,0.186,86,55,66,42,70,6,16,10,23,21,54,69,192,105,67.6
172,Rondae Hollis-Jefferson,52,1134,17.9,16.8,2.1,14.2,4.2,20.5,0.523,118,128,168,81,145,22,61,14,43,8,25,10,47,131,66.4
173,Richaun Holmes,31,494,18.3,13,1.6,8.4,10.5,19,0.314,61,31,50,56,76,10,33,3,12,6,16,8,22,103,57.3
174,Rodney Hood,40,1145,23.1,8.3,1.1,11.1,1.1,13,0.159,91,58,77,39,63,32,78,25,60,25,58,82,224,83,61.4
175,Al Horford,45,1481,20.6,11.3,1.1,23.7,4.6,17.9,0.155,98,71,88,80,114,45,105,24,67,36,72,68,194,254,59.4
176,Dwight Howard,51,1504,18.8,16.4,1.5,6.8,16.2,32.1,0.652,147,151,273,246,330,18,61,3,11,3,15,0,2,203,52.7
177,Marcelo Huertas,23,237,17,20.1,2.1,31.4,0.9,10.4,0.25,16,9,17,6,9,6,19,9,19,0,2,4,19,29,89.7
178,Kris Humphries,44,522,17.7,11.4,1,6.4,9.7,21.9,0.388,56,49,62,36,60,1,12,8,24,11,24,15,41,90,60
179,Serge Ibaka,56,1710,21,8.2,1,5.9,6.3,18.6,0.129,139,77,91,86,117,65,131,51,114,54,117,83,214,294,58.5
180,Andre Iguodala,54,1381,10.3,11.2,1.7,16.4,3.2,12.8,0.205,65,38,55,70,94,3,11,0,7,16,33,44,122,103,72.8
181,Ersan Ilyasova,56,1509,23.3,10.1,1.2,11.3,5.3,18.8,0.214,138,109,142,100,151,24,65,16,49,38,80,110,310,181,62.4
